suffix_rule,sentence,target_word,gold_root_heuristic,stemmer_output,exact_match,status
া,সবার জন্য নিরাপদ পানি সরবরাহ করা আমাদের কাজ।,করা,কর,কর,True,ok
ই,ঢাকাই জামদানি বুনতে চাই।,,,,,ambiguous_or_no_match
জন,সে একজন লড়াকু সৈনিক।,একজন,এক,একজন,False,ok
য়ান,সে একজন তেজিয়ান কবি।,তেজিয়ান,তেজি,তেজিয়ান,False,ok
গুলো,তাঁর আঁকানো ছবিগুলো সুন্দর।,ছবিগুলো,ছবি,ছবি,True,ok
রা,চোরেরা ধরালো আগুন।,চোরেরা,চোরে,চোর,False,ok
লু,সে ছিল দয়ালু।,দয়ালু,দয়া,দয়ালু,False,ok
ঈ,তার বাবা ধনী ছিল।,,,,,ambiguous_or_no_match
ছে,চেয়ারম্যানের বিরুদ্ধে জোরপূর্বক জমি লিখিয়ে নেয়ার অভিযোগ উঠেছে।,উঠেছে,উঠে,উঠ,False,ok
ঈয়,সে তার দলীয় লোক।,,,,,ambiguous_or_no_match
ই,সময়ই টাকা।,সময়ই,সময়,য়,False,ok
ের,আমি হৃদয়ের কথা বলিতে ব্যাকুল।,হৃদয়ের,হৃদয়,হৃদয়,True,ok
িলে,পড়িলে পারিবে।,পড়িলে,পড়,পড়িল,False,ok
িটর,ছেলেটির কষ্ট মেয়েলি।,,,,,ambiguous_or_no_match
লি,ছেলেটির কষ্ট মেয়েলি।,মেয়েলি,মেয়ে,মেয়ে,True,ok
ে,চলতি মাস থেকেই দোকানে বসছে ভ্যাট মেশিন।,,,,,ambiguous_or_no_match
ছে,চলতি মাস থেকেই দোকানে বসছে ভ্যাট মেশিন।,বসছে,বস,বস,True,ok
টা,তার কাপড়টা ময়লাটে।,কাপড়টা,কাপড়,কাপড়,True,ok
টে,তার কাপড়টা ময়লাটে।,ময়লাটে,ময়লা,ময়লাট,False,ok
র,পাতার লালচে রোগ একটি শারীরবৃত্তীয় সমস্যা।,পাতার,পাতা,পাতা,True,ok
চে,পাতার লালচে রোগ একটি শারীরবৃত্তীয় সমস্যা।,লালচে,লাল,লালচ,False,ok
য়,পাতার লালচে রোগ একটি শারীরবৃত্তীয় সমস্যা।,শারীরবৃত্তীয়,শারীরবৃত্তী,শারীরবৃত্তীয়,False,ok
োয়া,ঘরোয়া ক্রিকেট খেলাও একটি সমস্যা কিনা প্রশ্ন সাকিবের।,ঘরোয়া,ঘর,ঘরোয়া,False,ok
াও,ঘরোয়া ক্রিকেট খেলাও একটি সমস্যা কিনা প্রশ্ন সাকিবের।,খেলাও,খেল,খেলা,False,ok
ের,ঘরোয়া ক্রিকেট খেলাও একটি সমস্যা কিনা প্রশ্ন সাকিবের।,সাকিবের,সাকিব,সাকিব,True,ok
ো,পড়ো তোমার প্রভুর নামে।,পড়ো,পড়,পড়ো,False,ok
ুয়া,তার গাছে উঠা দেখেই বুঝা যায় সে একজন গাছুয়া।,গাছুয়া,গাছ,গাছুয়া,False,ok
টি,টেস্ট খেলুড়ে ১২ টি দেশ।,,,,,ambiguous_or_no_match
ুড়ে,টেস্ট খেলুড়ে ১২ টি দেশ।,খেলুড়ে,খেল,খেলুড়ে,False,ok
তা,দক্ষতা ছাড়া সততা শক্তিহীন।,,,,,ambiguous_or_no_match
