word,gold_segmentation,gold_root_heuristic,stemmer_output,exact_match
আছে,আছ+ে,আছ,আছ,True
আসামিদের,আসামি+দের,আসামি,আসামি,True
আত্মীয়স্বজনকে,"আত্মীয়+স্ব+জন+কে, আত্ম+ীয়+স্ব+জন+কে",আত্মীয়,আত্মীয়স্বজন,False
আত্মরক্ষা,আত্ম+রক্ষা,আত্ম,আত্মরক্ষা,False
আবিষ্কার,আবিষ্কার,আবিষ্কার,আবিষ্কা,False
আবির্ভাবের,আবির্ভাব+ের,আবির্ভাব,আবির্ভাব,True
আবহাওয়াকেও,"আবহাওয়া+কে+ও, আব+হাওয়া+কে+ও",আবহাওয়া,আবহাওয়াকেও,False
আচরণ,আচরণ,আচরণ,আচরণ,True
আচরণে,আচরণ+ে,আচরণ,আচরণ,True
আগের,আগে+র,আগে,আগ,False
আগত,আ+গত,আ,আগত,False
আহ্বায়ক,আহ্বায়ক,আহ্বায়ক,আহ্বায়ক,True
আলামত,আলামত,আলামত,আলামত,True
আলো,আলো,আলো,আলো,True
আলোচনাকালে,আলোচনা+কাল+ে,আলোচনা,আলোচনাকাল,False
আমদানিকে,আমদানি+কে,আমদানি,আমদানি,True
আমদানিনির্ভর,আমদানি+নির্ভর,আমদানি,আমদানিনির্ভর,False
আমল,আমল,আমল,আমল,True
আমলারা,আমলা+রা,আমলা,আমলা,True
আনন্দিতই,আনন্দ+িত+ই,আনন্দ,আনন্দিত,False
আনয়নে,আ+নয়ন+ে,আ,আনয়ন,False
আরবিতে,আরব+ি+তে,আরব,আরবি,False
আশঙ্কায়,আ+শঙ্কা+য়,আ,আশঙ্কায়,False
আয়োজনেই,আয়োজন+ে+ই,আয়োজন,আয়োজন,True
ভাতার,"ভাতা+র, ভাত+া+র",ভাতা,ভাতা,True
ভাগনে,ভাগনে,ভাগনে,ভাগন,False
ভাইজান,ভাই+জান,ভাই,ভাইজান,False
ভাল,ভাল,ভাল,ভাল,True
ভালদেসের,ভাল+দেস+ের,ভাল,ভালদেস,False
ভাঙবো,ভাঙ+বো,ভাঙ,ভাঙবো,False
ভারসাম্যের,ভার+সাম্য+ের,ভার,ভারসাম্য,False
ভাড়ায়ও,ভাড়+া+য়+ও,ভাড়,ভাড়ায়,False
ভেবেচিন্তে,ভেব+ে+চিন্ত+ে,ভেব,ভেবেচিন্,False
ভুগছে,ভুগ+ছ+ে,ভুগ,ভুগ,True
ভুগলেও,ভুগ+লে+ও,ভুগ,ভুগল,False
ভগ্নীপতি,ভগ্নী+পতি,ভগ্নী,ভগ্নীপতি,False
ভঙ্গুর,ভঙ্গুর,ভঙ্গুর,ভঙ্গুর,True
ভরণপোষণ,"ভরণ+পোষণ, ভরণ+পোষ+ণ",ভরণ,ভরণপোষণ,False
ভর্তিজ্বর,ভর্তি+জ্বর,ভর্তি,ভর্তিজ্বর,False
ভ্রমণকাহিনী,ভ্রমণ+কাহিনী,ভ্রমণ,ভ্রমণকাহিনী,False
ভ্রমণকারী,ভ্রমণ+কারী,ভ্রমণ,ভ্রমণকারী,False
ছাত্রবাসের,ছাত্র+বাস+ের,ছাত্র,ছাত্রবাস,False
ছাত্রদল,ছাত্র+দল,ছাত্র,ছাত্রদল,False
ছাগল,ছাগল,ছাগল,ছাগল,True
ছাপাবেন,"ছাপ+া+ব+েন, ছাপ+া+ব+ে+ন",ছাপ,ছাপা,False
ছায়া,ছায়া,ছায়া,ছায়া,True
ছাড়াও,ছাড়+া+ও,ছাড়,ছাড়া,False
ছাড়লেন,"ছাড়+ল+েন, ছাড়+ল+ে+ন",ছাড়,ছাড়,True
ছোটসাহেব,ছোট+সাহেব,ছোট,ছোটসাহেব,False
ছেলে,ছেলে,ছেলে,ছেলে,True
ছিলাম,ছিল+াম,ছিল,ছিল,True
ছুরিকাঘাত,ছুরি+কা+ঘাত,ছুরি,ছুরিকাঘাত,False
ছুরিটা,ছুরি+টা,ছুরি,ছুরি,True
ছুটছেন,"ছুট+ছে+ন, ছুট+ছ+ে+ন",ছুট,ছুট,True
ছুটি,ছুট+ি,ছুট,ছুটি,False
ধৈর্য,ধৈর্য,ধৈর্য,ধৈর্য,True
ধাপে,ধাপ+ে,ধাপ,ধাপ,True
ধাপটা,ধাপ+টা,ধাপ,ধাপ,True
ধারাবাহিক,ধারা+বাহ+িক,ধারা,ধারাবাহিক,False
ধারণাকে,ধারণা+কে,ধারণা,ধারণা,True
ঘামাচ্ছি,"ঘাম+া+চ্ছি, ঘাম+া+চ্ছ+ি",ঘাম,ঘাম,True
ঘামাননি,"ঘাম+ান+নি, ঘাম+া+ন+নি",ঘাম,ঘামাননি,False
ঘোলা,ঘোল+া,ঘোল,ঘোলা,False
ঘোরাফেরার,"ঘোরা+ফেরা+র, ঘোর+া+ফের+া+র",ঘোরা,ঘোরাফেরা,False
ঘোরতর,ঘোর+তর,ঘোর,ঘোরতর,False
ঘুমিয়ে,ঘুম+িয়ে,ঘুম,ঘুমা,False
ঘুরেফিরেই,ঘুর+ে+ফির+ে+ই,ঘুর,ঘুরেফিরে,False
ঘুরেও,ঘুর+ে+ও,ঘুর,ঘুর,True
ঘরে,ঘর+ে,ঘর,ঘর,True
ঘরবাড়ি,ঘর+বাড়ি,ঘর,ঘরবাড়ি,False
ঘটলেও,ঘট+লে+ও,ঘট,ঘটল,False
জীবনযাপনের,জীবন+যাপন+ের,জীবন,জীবনযাপন,False
জীবনকাহিনী,জীবন+কাহিনী,জীবন,জীবনকাহিনী,False
জাম্পে,জাম্প+ে,জাম্প,জাম্প,True
জানাজাস্থল,জানাজা+স্থল,জানাজা,জানাজাস্থল,False
জানুয়ারি,জানুয়ারি,জানুয়ারি,জানুয়ারি,True
জার্সিটিকে,জার্সি+টি+কে,জার্সি,জার্সি,True
জোটনিরপেক্ষ,জোট+নিরপেক্ষ,জোট,জোটনিরপেক্ষ,False
জেদ,জেদ,জেদ,জেদ,True
জেগে,জেগ+ে,জেগ,জাগ,False
জেহাদের,জেহাদ+ের,জেহাদ,জেহা,False
জেল,জেল,জেল,জেল,True
জেলাগুলোয়,জেলা+গুলো+য়,জেলা,জেলাগুলোয়,False
জুটিটাকে,জুটি+টা+কে,জুটি,জুটি,True
জবাবটাও,জবাব+টা+ও,জবাব,জবাব,True
জলঢুবে,জল+ঢুব+ে,জল,জলঢুব,False
জল্পনা,জল্পনা,জল্পনা,জল্পনা,True
জমায়েতের,জমায়েত+ের,জমায়েত,জমায়েত,True
জমেছে,জম+েছ+ে,জম,জম,True
জনসহ,জন+সহ,জন,জনসহ,False
জনই,জন+ই,জন,জন,True
জনযুদ্ধের,জন+যুদ্ধ+ের,জন,জনযুদ্ধ,False
জননেত্রী,জন+নেত্র+ী,জন,জননেত্রী,False
জন্মেছিল,"জন্ম+েছ+িল, জন্ম+েছ+ি+ল",জন্ম,জন্ম,True
