া	সবার জন্য নিরাপদ পানি সরবরাহ করা আমাদের কাজ।
ই	ঢাকাই জামদানি বুনতে চাই।
জন	সে একজন লড়াকু সৈনিক।
য়ান	সে একজন তেজিয়ান কবি।
গুলো	তাঁর আঁকানো ছবিগুলো সুন্দর।
রা	চোরেরা ধরালো আগুন।
লু	সে ছিল দয়ালু।
ঈ	তার বাবা ধনী ছিল।
ছে	চেয়ারম্যানের বিরুদ্ধে জোরপূর্বক জমি লিখিয়ে নেয়ার অভিযোগ উঠেছে।
ঈয়	সে তার দলীয় লোক।
ই	সময়ই টাকা।
ের	আমি হৃদয়ের কথা বলিতে ব্যাকুল।
িলে	পড়িলে পারিবে।
িটর	ছেলেটির কষ্ট মেয়েলি।
লি	ছেলেটির কষ্ট মেয়েলি।
ে	চলতি মাস থেকেই দোকানে বসছে ভ্যাট মেশিন।
ছে	চলতি মাস থেকেই দোকানে বসছে ভ্যাট মেশিন।
টা	তার কাপড়টা ময়লাটে।
টে	তার কাপড়টা ময়লাটে।
র	পাতার লালচে রোগ একটি শারীরবৃত্তীয় সমস্যা।
চে	পাতার লালচে রোগ একটি শারীরবৃত্তীয় সমস্যা।
য়	পাতার লালচে রোগ একটি শারীরবৃত্তীয় সমস্যা।
োয়া	ঘরোয়া ক্রিকেট খেলাও একটি সমস্যা কিনা প্রশ্ন সাকিবের।
াও	ঘরোয়া ক্রিকেট খেলাও একটি সমস্যা কিনা প্রশ্ন সাকিবের।
ের	ঘরোয়া ক্রিকেট খেলাও একটি সমস্যা কিনা প্রশ্ন সাকিবের।
ো	পড়ো তোমার প্রভুর নামে।
ুয়া	তার গাছে উঠা দেখেই বুঝা যায় সে একজন গাছুয়া।
টি	টেস্ট খেলুড়ে ১২ টি দেশ।
ুড়ে	টেস্ট খেলুড়ে ১২ টি দেশ।
তা	দক্ষতা ছাড়া সততা শক্তিহীন।
হীন	দক্ষতা ছাড়া সততা শক্তিহীন।
স্থ	গৃহস্থ বাড়ি থেকে বিষধর সাপ উদ্ধার।
ধর	গৃহস্থ বাড়ি থেকে বিষধর সাপ উদ্ধার।
হর	রোগহর তিতক্তাকে গ্রহণ করাই তার বৃত্তি।
াকে	রোগহর তিতক্তাকে গ্রহণ করাই তার বৃত্তি।
সহ	নিহতের মাথায় আঘাতসহ শরীরে একাধিক ক্ষতচিহ্ন দেখা গেছে।
সই	টেকসই উন্নয়নে তিনি জোর দেন তিনটি বিষয়ে।
শালী	করিম খুব শক্তিশালী।
মান	রহিম খুব বুদ্ধিমান।
ময়	আল্লাহ করুণাময় ও দয়াময়।
মতী	মেয়েটি বুদ্ধিমতী।
ীভূত	আয়নিক যৌগ পানিতে দ্রবীভূত হয়।
