WholeWord,Stems,Correct,Remarks
দুর্ঘটনা,ঘটনা,1,
দুর্নীতি,নীতি,1,
শিশুদের,শিশু,1,
প্রতিরক্ষা,রক্ষা,1,
প্রতিশ্রুতি,শ্রুতি,1,
প্রতিপক্ষ,পক্ষ,1,
পাহাড়ের,পাহাড়,1,
দুর্ভোগ,ভোগ,1,
কাগজপত্র,কাগজপত্র,0,compound
বাবাকে,বাবা,1,
কাঠের,কাঠ,1,
দুর্ভাগ্য,ভাগ্য,1,
দুশ্চিন্তা,চিন্তা,1,
প্রতিফলন,ফলন,1,
প্রতিশোধ,শোধ,1,
মানুষজন,মানুষজন,0,compound
মাংসের,মাংস,1,
ঘরবাড়ি,ঘরবাড়ি,1,
প্রজাপতি,প্রজাপতি,1,
প্রতিহিংসা,হিংসা,1,
দুর্গন্ধ,গন্ধ,1,
চিতাবাঘ,চিতাবাঘ,0,compound
গাছপালা,গাছপালা,0,compound
দুর্দশা,দশা,1,
উদ্ভিদের,্ভি,0,missing
দুঃসাহস,সাহস,1,
খাদ্যশস্য,খাদ্যশস্য,0,
দুর্ব্যবহার,ব্যবহ,0,
হৃদয়ের,হৃদয়,1,
হাড়ের,হাড়,1,
পুরুষকে,পুরুষ,1,
দুঃস্বপ্ন,স্বপ্ন,1,
প্রতিপালন,পালন,1,
কৃষিজমি,কৃষিজমি,0,compound
প্রতিদান,দান,1,
দুরবস্থা,দুরবস্থা,0,
শিলাবৃষ্টি,শিলাবৃষ্,0,compound
কাঁধের,কাঁধ,1,
দুঃসংবাদ,সংবাদ,1,
পশুপাখি,পশুপাখি,0,
প্রতিশব্দ,শব্দ,1,
প্রতিধ্বনি,ধ্বনি,1,
লবণের,লবণ,1,
মাছরাঙা,মাছরাঙা,0,
দুশমন,দুশমন,0,
পুতুলের,পুতুল,1,
দুঃশাসন,শাসন,1,
ঘড়িতে,ঘড়ি,1,
প্রতিরূপ,রূপ,1,
কচ্ছপের,কচ্ছপ,1,
কাকের,কাক,1,
আয়নায়,আয়নায়,1,
জলকামান,জলকা,0,
বইগুলি,বই,1,
দুর্গতি,গতি,1,
বাঁশির,বাঁশির,0,
মটরশুঁটি,মটরশুঁ,0,
দুর্নাম,নাম,1,
গোড়ালির,গোড়ালির,0,
লাঠিসোঁটা,লাঠিসোঁ,0,
প্রতিঘাত,ঘাত,1,
সাবানের,সাবান,1,
প্রতিসরণ,সরণ,1,
ঝুড়িতে,ঝুড়ি,1,
দুর্ভাবনা,ভাবনা,1,
ঝিনুকের,ঝিনুক,1,
বুদ্ধমূর্তি,বুদ্ধমূর্তি,0,
দরজাটা,দরজা,1,
বাছুরের,বাছুর,1,
উটপাখি,উটপাখি,0,
মাখনের,মাখন,1,
প্রতিবিধান,বিধান,1,
ঝর্ণাধারা,ঝর্ণাধা,0,
মুকুটের,মুকুট,1,
দারুচিনির,দারুচিনির,0,
পেরেকটি,পেরেকটি,0,
মৌচাকের,মৌচাক,1,
প্রতিভাস,ভাস,1,
বোতামের,বোতাম,1,
দুরাশা,আশা,1,
কলিজার,কলিজ,1,
থুতনির,থুতনির,0,
থালাবাসন,থালাবাসন,0,
প্রতিপ্রভা,প্রভা,1,
খুরের,খুর,1,
বড়িগুলো,বড়ি,1,
প্রতিরুপ,রুপ,1,
পতাকাগুলি,পতাকা,1,
প্রতিকল্প,কল্প,1,
গঙ্গাফড়িং,গঙ্গাফড়িং,0,
কোলবালিশ,কোলবালিশ,0,
শুঁয়াপোকা,শুঁয়াপোকা,0,
কলাগুলো,কলা,1,
ষাঁড়গুলো,ষাঁড়,1,
কাঁথাগুলো,কাঁথা,1,
শালগুলো,শাল,1,
প্রতিবাস্তব,বাস্তব,1,
প্রতিসর্গ,সর্গ,1,
শূকরছানা,শূকরছানা,0,
তীরগুলো,তীর,1,
হাতুড়িটা,হাতুড়ি,1,
পিঁপড়াটা,পিঁপড়া,1,
প্রতিবর্তন,বর্তন,1,
দুর্মতি,মতি,1,
চড়ুইদের,চড়ুই,1,
দুর্বুদ্ধি,বুদ্ধি,1,
দুর্দৈব,দৈব,1,
তিমিগুলি,তিমি,1,
মাকড়সাটা,মাকড়সা,1,
প্রতিবন্ধন,বন্ধন,1,
খরগোশগুলো,খরগোশ,1,
হাঙ্গরগুলো,হাঙ্গর,1,
প্রতিগভীর,গভীর,1,
প্রতিক্রম,ক্রম,1,
দুষ্কার্য,দুষ্কার্য,0,
প্রতিবোধ,বোধ,1,
প্রতিভূতি,ভূতি,1,
কনুইটি,কনুই,1,
দুর্লতা,লতা,1,
দুর্বৃত্তি,বৃত্তি,1,
প্রতিগ্রহণ,গ্রহণ,1,
প্রতিপণ,পণ,1,
প্রতিপ্রশ্ন,প্রশ্ন,1,
আখরোটগুলো,আখরোট,1,
